,rouge,SGC,WGC,LC,key
14,"{'rouge1_fmeasure': tensor(0.2774), 'rouge1_precision': tensor(0.3311), 'rouge1_recall': tensor(0.3408), 'rouge2_fmeasure': tensor(0.0879), 'rouge2_precision': tensor(0.1029), 'rouge2_recall': tensor(0.1096), 'rougeL_fmeasure': tensor(0.1938), 'rougeL_precision': tensor(0.2304), 'rougeL_recall': tensor(0.2414), 'rougeLsum_fmeasure': tensor(0.2247), 'rougeLsum_precision': tensor(0.2757), 'rougeLsum_recall': tensor(0.2740)}",0.23,0.96,0.92,vicuna_few_1_0_100_13.csv
15,"{'rouge1_fmeasure': tensor(0.2348), 'rouge1_precision': tensor(0.2069), 'rouge1_recall': tensor(0.4615), 'rouge2_fmeasure': tensor(0.0728), 'rouge2_precision': tensor(0.0639), 'rouge2_recall': tensor(0.1524), 'rougeL_fmeasure': tensor(0.1533), 'rougeL_precision': tensor(0.1299), 'rougeL_recall': tensor(0.3206), 'rougeLsum_fmeasure': tensor(0.2015), 'rougeLsum_precision': tensor(0.1803), 'rougeLsum_recall': tensor(0.3962)}",0.0,0.86,0.6,vicuna_few_0_1_100_13.csv
16,"{'rouge1_fmeasure': tensor(0.2822), 'rouge1_precision': tensor(0.3061), 'rouge1_recall': tensor(0.3871), 'rouge2_fmeasure': tensor(0.0925), 'rouge2_precision': tensor(0.1015), 'rouge2_recall': tensor(0.1249), 'rougeL_fmeasure': tensor(0.1941), 'rougeL_precision': tensor(0.2087), 'rougeL_recall': tensor(0.2706), 'rougeLsum_fmeasure': tensor(0.2360), 'rougeLsum_precision': tensor(0.2583), 'rougeLsum_recall': tensor(0.3254)}",0.18,0.94,0.76,vicuna_few_0_3_100_13.csv
17,"{'rouge1_fmeasure': tensor(0.2635), 'rouge1_precision': tensor(0.3019), 'rouge1_recall': tensor(0.3209), 'rouge2_fmeasure': tensor(0.0804), 'rouge2_precision': tensor(0.0910), 'rouge2_recall': tensor(0.1004), 'rougeL_fmeasure': tensor(0.1796), 'rougeL_precision': tensor(0.2073), 'rougeL_recall': tensor(0.2209), 'rougeLsum_fmeasure': tensor(0.2050), 'rougeLsum_precision': tensor(0.2409), 'rougeLsum_recall': tensor(0.2521)}",0.25,0.93,0.91,vicuna_few_1_3_100_3.csv
18,"{'rouge1_fmeasure': tensor(0.2824), 'rouge1_precision': tensor(0.3390), 'rouge1_recall': tensor(0.3415), 'rouge2_fmeasure': tensor(0.0909), 'rouge2_precision': tensor(0.1076), 'rouge2_recall': tensor(0.1114), 'rougeL_fmeasure': tensor(0.1980), 'rougeL_precision': tensor(0.2338), 'rougeL_recall': tensor(0.2459), 'rougeLsum_fmeasure': tensor(0.2325), 'rougeLsum_precision': tensor(0.2843), 'rougeLsum_recall': tensor(0.2840)}",0.29,0.95,0.88,vicuna_few_1_2_100_13.csv
19,"{'rouge1_fmeasure': tensor(0.2848), 'rouge1_precision': tensor(0.3035), 'rouge1_recall': tensor(0.3766), 'rouge2_fmeasure': tensor(0.0989), 'rouge2_precision': tensor(0.1038), 'rouge2_recall': tensor(0.1337), 'rougeL_fmeasure': tensor(0.1985), 'rougeL_precision': tensor(0.2096), 'rougeL_recall': tensor(0.2700), 'rougeLsum_fmeasure': tensor(0.2347), 'rougeLsum_precision': tensor(0.2491), 'rougeLsum_recall': tensor(0.3160)}",0.23,0.92,0.88,vicuna_few_2_3_100_313.csv
20,"{'rouge1_fmeasure': tensor(0.2702), 'rouge1_precision': tensor(0.2577), 'rouge1_recall': tensor(0.3999), 'rouge2_fmeasure': tensor(0.0903), 'rouge2_precision': tensor(0.0900), 'rouge2_recall': tensor(0.1311), 'rougeL_fmeasure': tensor(0.1802), 'rougeL_precision': tensor(0.1706), 'rougeL_recall': tensor(0.2757), 'rougeLsum_fmeasure': tensor(0.2290), 'rougeLsum_precision': tensor(0.2204), 'rougeLsum_recall': tensor(0.3385)}",0.01,0.89,0.73,vicuna_few_1_0_100_313.csv
21,"{'rouge1_fmeasure': tensor(0.2963), 'rouge1_precision': tensor(0.3192), 'rouge1_recall': tensor(0.3540), 'rouge2_fmeasure': tensor(0.1038), 'rouge2_precision': tensor(0.1125), 'rouge2_recall': tensor(0.1262), 'rougeL_fmeasure': tensor(0.2051), 'rougeL_precision': tensor(0.2178), 'rougeL_recall': tensor(0.2529), 'rougeLsum_fmeasure': tensor(0.2410), 'rougeLsum_precision': tensor(0.2619), 'rougeLsum_recall': tensor(0.2892)}",0.26,0.95,0.9,vicuna_few_3_0_100_313.csv
22,"{'rouge1_fmeasure': tensor(0.2562), 'rouge1_precision': tensor(0.2184), 'rouge1_recall': tensor(0.4301), 'rouge2_fmeasure': tensor(0.0751), 'rouge2_precision': tensor(0.0630), 'rouge2_recall': tensor(0.1323), 'rougeL_fmeasure': tensor(0.1648), 'rougeL_precision': tensor(0.1366), 'rougeL_recall': tensor(0.2911), 'rougeLsum_fmeasure': tensor(0.2132), 'rougeLsum_precision': tensor(0.1839), 'rougeLsum_recall': tensor(0.3580)}",0.02,0.89,0.84,vicuna_zero_0_100_100_313.csv
23,"{'rouge1_fmeasure': tensor(0.2728), 'rouge1_precision': tensor(0.3182), 'rouge1_recall': tensor(0.3348), 'rouge2_fmeasure': tensor(0.0898), 'rouge2_precision': tensor(0.1053), 'rouge2_recall': tensor(0.1153), 'rougeL_fmeasure': tensor(0.1891), 'rougeL_precision': tensor(0.2203), 'rougeL_recall': tensor(0.2360), 'rougeLsum_fmeasure': tensor(0.2139), 'rougeLsum_precision': tensor(0.2510), 'rougeLsum_recall': tensor(0.2717)}",0.3,0.91,0.87,vicuna_few_2_3_100_3.csv
24,"{'rouge1_fmeasure': tensor(0.2829), 'rouge1_precision': tensor(0.3246), 'rouge1_recall': tensor(0.3577), 'rouge2_fmeasure': tensor(0.0913), 'rouge2_precision': tensor(0.1025), 'rouge2_recall': tensor(0.1195), 'rougeL_fmeasure': tensor(0.1946), 'rougeL_precision': tensor(0.2173), 'rougeL_recall': tensor(0.2532), 'rougeLsum_fmeasure': tensor(0.2328), 'rougeLsum_precision': tensor(0.2727), 'rougeLsum_recall': tensor(0.2934)}",0.2,0.95,0.91,vicuna_few_1_1_100_13.csv
25,"{'rouge1_fmeasure': tensor(0.2617), 'rouge1_precision': tensor(0.2882), 'rouge1_recall': tensor(0.3489), 'rouge2_fmeasure': tensor(0.0797), 'rouge2_precision': tensor(0.0864), 'rouge2_recall': tensor(0.1113), 'rougeL_fmeasure': tensor(0.1786), 'rougeL_precision': tensor(0.1962), 'rougeL_recall': tensor(0.2432), 'rougeLsum_fmeasure': tensor(0.2090), 'rougeLsum_precision': tensor(0.2334), 'rougeLsum_recall': tensor(0.2828)}",0.18,0.88,0.84,vicuna_few_3_0_100_3.csv
26,"{'rouge1_fmeasure': tensor(0.2948), 'rouge1_precision': tensor(0.3198), 'rouge1_recall': tensor(0.3502), 'rouge2_fmeasure': tensor(0.0970), 'rouge2_precision': tensor(0.1090), 'rouge2_recall': tensor(0.1123), 'rougeL_fmeasure': tensor(0.2014), 'rougeL_precision': tensor(0.2162), 'rougeL_recall': tensor(0.2434), 'rougeLsum_fmeasure': tensor(0.2387), 'rougeLsum_precision': tensor(0.2608), 'rougeLsum_recall': tensor(0.2834)}",0.16,0.92,0.87,vicuna_few_1_2_100_313.csv
27,"{'rouge1_fmeasure': tensor(0.2837), 'rouge1_precision': tensor(0.3456), 'rouge1_recall': tensor(0.3193), 'rouge2_fmeasure': tensor(0.0970), 'rouge2_precision': tensor(0.1181), 'rouge2_recall': tensor(0.1101), 'rougeL_fmeasure': tensor(0.2004), 'rougeL_precision': tensor(0.2446), 'rougeL_recall': tensor(0.2277), 'rougeLsum_fmeasure': tensor(0.2273), 'rougeLsum_precision': tensor(0.2819), 'rougeLsum_recall': tensor(0.2572)}",0.32,0.92,0.9,vicuna_few_0_3_100_313.csv
28,"{'rouge1_fmeasure': tensor(0.2621), 'rouge1_precision': tensor(0.2642), 'rouge1_recall': tensor(0.4057), 'rouge2_fmeasure': tensor(0.0794), 'rouge2_precision': tensor(0.0818), 'rouge2_recall': tensor(0.1221), 'rougeL_fmeasure': tensor(0.1719), 'rougeL_precision': tensor(0.1707), 'rougeL_recall': tensor(0.2766), 'rougeLsum_fmeasure': tensor(0.2189), 'rougeLsum_precision': tensor(0.2232), 'rougeLsum_recall': tensor(0.3423)}",0.06,0.92,0.75,vicuna_few_0_2_100_13.csv
29,"{'rouge1_fmeasure': tensor(0.2826), 'rouge1_precision': tensor(0.2920), 'rouge1_recall': tensor(0.3808), 'rouge2_fmeasure': tensor(0.0953), 'rouge2_precision': tensor(0.0986), 'rouge2_recall': tensor(0.1292), 'rougeL_fmeasure': tensor(0.1917), 'rougeL_precision': tensor(0.1951), 'rougeL_recall': tensor(0.2677), 'rougeLsum_fmeasure': tensor(0.2346), 'rougeLsum_precision': tensor(0.2422), 'rougeLsum_recall': tensor(0.3202)}",0.15,0.93,0.84,vicuna_few_2_2_100_313.csv
30,"{'rouge1_fmeasure': tensor(0.2830), 'rouge1_precision': tensor(0.2956), 'rouge1_recall': tensor(0.3705), 'rouge2_fmeasure': tensor(0.0970), 'rouge2_precision': tensor(0.1049), 'rouge2_recall': tensor(0.1264), 'rougeL_fmeasure': tensor(0.1889), 'rougeL_precision': tensor(0.1939), 'rougeL_recall': tensor(0.2561), 'rougeLsum_fmeasure': tensor(0.2333), 'rougeLsum_precision': tensor(0.2456), 'rougeLsum_recall': tensor(0.3074)}",0.11,0.91,0.81,vicuna_few_1_1_100_313.csv
31,"{'rouge1_fmeasure': tensor(0.2748), 'rouge1_precision': tensor(0.2919), 'rouge1_recall': tensor(0.3494), 'rouge2_fmeasure': tensor(0.0876), 'rouge2_precision': tensor(0.0921), 'rouge2_recall': tensor(0.1126), 'rougeL_fmeasure': tensor(0.1866), 'rougeL_precision': tensor(0.1992), 'rougeL_recall': tensor(0.2403), 'rougeLsum_fmeasure': tensor(0.2184), 'rougeLsum_precision': tensor(0.2346), 'rougeLsum_recall': tensor(0.2801)}",0.23,0.92,0.85,vicuna_few_1_1_100_3.csv
32,"{'rouge1_fmeasure': tensor(0.2868), 'rouge1_precision': tensor(0.3071), 'rouge1_recall': tensor(0.3670), 'rouge2_fmeasure': tensor(0.0990), 'rouge2_precision': tensor(0.1092), 'rouge2_recall': tensor(0.1258), 'rougeL_fmeasure': tensor(0.1966), 'rougeL_precision': tensor(0.2074), 'rougeL_recall': tensor(0.2570), 'rougeLsum_fmeasure': tensor(0.2388), 'rougeLsum_precision': tensor(0.2570), 'rougeLsum_recall': tensor(0.3065)}",0.15,0.91,0.88,vicuna_few_1_3_100_313.csv
33,"{'rouge1_fmeasure': tensor(0.2919), 'rouge1_precision': tensor(0.3604), 'rouge1_recall': tensor(0.2988), 'rouge2_fmeasure': tensor(0.0995), 'rouge2_precision': tensor(0.1236), 'rouge2_recall': tensor(0.1058), 'rougeL_fmeasure': tensor(0.2054), 'rougeL_precision': tensor(0.2485), 'rougeL_recall': tensor(0.2155), 'rougeLsum_fmeasure': tensor(0.2330), 'rougeLsum_precision': tensor(0.2893), 'rougeLsum_recall': tensor(0.2402)}",0.33,0.9,0.94,vicuna_few_0_2_100_313.csv
34,"{'rouge1_fmeasure': tensor(0.2549), 'rouge1_precision': tensor(0.2461), 'rouge1_recall': tensor(0.4320), 'rouge2_fmeasure': tensor(0.0800), 'rouge2_precision': tensor(0.0751), 'rouge2_recall': tensor(0.1448), 'rougeL_fmeasure': tensor(0.1668), 'rougeL_precision': tensor(0.1571), 'rougeL_recall': tensor(0.2989), 'rougeLsum_fmeasure': tensor(0.2143), 'rougeLsum_precision': tensor(0.2105), 'rougeLsum_recall': tensor(0.3638)}",0.04,0.87,0.64,vicuna_few_2_1_100_13.csv
35,"{'rouge1_fmeasure': tensor(0.2679), 'rouge1_precision': tensor(0.2651), 'rouge1_recall': tensor(0.4146), 'rouge2_fmeasure': tensor(0.0835), 'rouge2_precision': tensor(0.0810), 'rouge2_recall': tensor(0.1362), 'rougeL_fmeasure': tensor(0.1784), 'rougeL_precision': tensor(0.1727), 'rougeL_recall': tensor(0.2908), 'rougeLsum_fmeasure': tensor(0.2210), 'rougeLsum_precision': tensor(0.2214), 'rougeLsum_recall': tensor(0.3469)}",0.1,0.91,0.74,vicuna_few_3_0_100_13.csv
36,"{'rouge1_fmeasure': tensor(0.2824), 'rouge1_precision': tensor(0.2985), 'rouge1_recall': tensor(0.3645), 'rouge2_fmeasure': tensor(0.0918), 'rouge2_precision': tensor(0.0984), 'rouge2_recall': tensor(0.1176), 'rougeL_fmeasure': tensor(0.1937), 'rougeL_precision': tensor(0.2019), 'rougeL_recall': tensor(0.2575), 'rougeLsum_fmeasure': tensor(0.2339), 'rougeLsum_precision': tensor(0.2491), 'rougeLsum_recall': tensor(0.3033)}",0.14,0.95,0.85,vicuna_few_2_1_100_313.csv
37,"{'rouge1_fmeasure': tensor(0.2873), 'rouge1_precision': tensor(0.3277), 'rouge1_recall': tensor(0.3180), 'rouge2_fmeasure': tensor(0.0909), 'rouge2_precision': tensor(0.1063), 'rouge2_recall': tensor(0.1017), 'rougeL_fmeasure': tensor(0.1971), 'rougeL_precision': tensor(0.2239), 'rougeL_recall': tensor(0.2210), 'rougeLsum_fmeasure': tensor(0.2297), 'rougeLsum_precision': tensor(0.2663), 'rougeLsum_recall': tensor(0.2549)}",0.3,0.94,0.93,vicuna_few_0_1_100_313.csv
38,"{'rouge1_fmeasure': tensor(0.2737), 'rouge1_precision': tensor(0.2916), 'rouge1_recall': tensor(0.3649), 'rouge2_fmeasure': tensor(0.0892), 'rouge2_precision': tensor(0.0933), 'rouge2_recall': tensor(0.1244), 'rougeL_fmeasure': tensor(0.1830), 'rougeL_precision': tensor(0.1941), 'rougeL_recall': tensor(0.2499), 'rougeLsum_fmeasure': tensor(0.2162), 'rougeLsum_precision': tensor(0.2308), 'rougeLsum_recall': tensor(0.2965)}",0.24,0.91,0.83,vicuna_few_2_1_100_3.csv
