,rouge,SGC,WGC,LC,key
18,"{'rouge1_fmeasure': tensor(0.2001), 'rouge1_precision': tensor(0.1981), 'rouge1_recall': tensor(0.4546), 'rouge2_fmeasure': tensor(0.0578), 'rouge2_precision': tensor(0.0552), 'rouge2_recall': tensor(0.1386), 'rougeL_fmeasure': tensor(0.1296), 'rougeL_precision': tensor(0.1268), 'rougeL_recall': tensor(0.3062), 'rougeLsum_fmeasure': tensor(0.1690), 'rougeLsum_precision': tensor(0.1656), 'rougeLsum_recall': tensor(0.3892)}",0.08,0.84,0.5,mistral_few_2_0_100_3.csv
19,"{'rouge1_fmeasure': tensor(0.2254), 'rouge1_precision': tensor(0.1886), 'rouge1_recall': tensor(0.5136), 'rouge2_fmeasure': tensor(0.0766), 'rouge2_precision': tensor(0.0666), 'rouge2_recall': tensor(0.1720), 'rougeL_fmeasure': tensor(0.1455), 'rougeL_precision': tensor(0.1190), 'rougeL_recall': tensor(0.3565), 'rougeLsum_fmeasure': tensor(0.1968), 'rougeLsum_precision': tensor(0.1652), 'rougeLsum_recall': tensor(0.4471)}",0.02,0.78,0.42,mistral_few_0_2_100_13.csv
20,"{'rouge1_fmeasure': tensor(0.1963), 'rouge1_precision': tensor(0.1757), 'rouge1_recall': tensor(0.4777), 'rouge2_fmeasure': tensor(0.0603), 'rouge2_precision': tensor(0.0520), 'rouge2_recall': tensor(0.1518), 'rougeL_fmeasure': tensor(0.1251), 'rougeL_precision': tensor(0.1095), 'rougeL_recall': tensor(0.3230), 'rougeLsum_fmeasure': tensor(0.1657), 'rougeLsum_precision': tensor(0.1467), 'rougeLsum_recall': tensor(0.4082)}",0.04,0.83,0.43,mistral_few_2_1_100_3.csv
21,"{'rouge1_fmeasure': tensor(0.2204), 'rouge1_precision': tensor(0.1861), 'rouge1_recall': tensor(0.4730), 'rouge2_fmeasure': tensor(0.0722), 'rouge2_precision': tensor(0.0599), 'rouge2_recall': tensor(0.1592), 'rougeL_fmeasure': tensor(0.1487), 'rougeL_precision': tensor(0.1250), 'rougeL_recall': tensor(0.3333), 'rougeLsum_fmeasure': tensor(0.1921), 'rougeLsum_precision': tensor(0.1604), 'rougeLsum_recall': tensor(0.4155)}",0.05,0.87,0.49,mistral_few_2_3_100_313.csv
22,"{'rouge1_fmeasure': tensor(0.1985), 'rouge1_precision': tensor(0.1865), 'rouge1_recall': tensor(0.4488), 'rouge2_fmeasure': tensor(0.0572), 'rouge2_precision': tensor(0.0542), 'rouge2_recall': tensor(0.1392), 'rougeL_fmeasure': tensor(0.1265), 'rougeL_precision': tensor(0.1188), 'rougeL_recall': tensor(0.2998), 'rougeLsum_fmeasure': tensor(0.1648), 'rougeLsum_precision': tensor(0.1543), 'rougeLsum_recall': tensor(0.3794)}",0.06,0.86,0.52,mistral_few_2_2_100_3.csv
23,"{'rouge1_fmeasure': tensor(0.2593), 'rouge1_precision': tensor(0.3235), 'rouge1_recall': tensor(0.3501), 'rouge2_fmeasure': tensor(0.0809), 'rouge2_precision': tensor(0.1037), 'rouge2_recall': tensor(0.1090), 'rougeL_fmeasure': tensor(0.1763), 'rougeL_precision': tensor(0.2192), 'rougeL_recall': tensor(0.2442), 'rougeLsum_fmeasure': tensor(0.2151), 'rougeLsum_precision': tensor(0.2695), 'rougeLsum_recall': tensor(0.2963)}",0.25,0.9,0.76,mistral_few_1_0_100_13.csv
24,"{'rouge1_fmeasure': tensor(0.2188), 'rouge1_precision': tensor(0.2136), 'rouge1_recall': tensor(0.4054), 'rouge2_fmeasure': tensor(0.0702), 'rouge2_precision': tensor(0.0726), 'rouge2_recall': tensor(0.1304), 'rougeL_fmeasure': tensor(0.1484), 'rougeL_precision': tensor(0.1422), 'rougeL_recall': tensor(0.2893), 'rougeLsum_fmeasure': tensor(0.1881), 'rougeLsum_precision': tensor(0.1856), 'rougeLsum_recall': tensor(0.3476)}",0.03,0.75,0.41,mistral_few_1_0_100_313.csv
25,"{'rouge1_fmeasure': tensor(0.2296), 'rouge1_precision': tensor(0.2116), 'rouge1_recall': tensor(0.4494), 'rouge2_fmeasure': tensor(0.0753), 'rouge2_precision': tensor(0.0698), 'rouge2_recall': tensor(0.1529), 'rougeL_fmeasure': tensor(0.1543), 'rougeL_precision': tensor(0.1404), 'rougeL_recall': tensor(0.3170), 'rougeLsum_fmeasure': tensor(0.1978), 'rougeLsum_precision': tensor(0.1818), 'rougeLsum_recall': tensor(0.3909)}",0.02,0.88,0.6,mistral_few_1_3_100_313.csv
26,"{'rouge1_fmeasure': tensor(0.2069), 'rouge1_precision': tensor(0.1831), 'rouge1_recall': tensor(0.4632), 'rouge2_fmeasure': tensor(0.0657), 'rouge2_precision': tensor(0.0600), 'rouge2_recall': tensor(0.1449), 'rougeL_fmeasure': tensor(0.1432), 'rougeL_precision': tensor(0.1256), 'rougeL_recall': tensor(0.3365), 'rougeLsum_fmeasure': tensor(0.1746), 'rougeLsum_precision': tensor(0.1552), 'rougeLsum_recall': tensor(0.3897)}",0.05,0.78,0.5,mistral_few_3_0_100_13.csv
27,"{'rouge1_fmeasure': tensor(0.2524), 'rouge1_precision': tensor(0.2867), 'rouge1_recall': tensor(0.3983), 'rouge2_fmeasure': tensor(0.0853), 'rouge2_precision': tensor(0.0972), 'rouge2_recall': tensor(0.1343), 'rougeL_fmeasure': tensor(0.1731), 'rougeL_precision': tensor(0.1944), 'rougeL_recall': tensor(0.2797), 'rougeLsum_fmeasure': tensor(0.2132), 'rougeLsum_precision': tensor(0.2411), 'rougeLsum_recall': tensor(0.3411)}",0.2,0.84,0.66,mistral_few_1_2_100_13.csv
28,"{'rouge1_fmeasure': tensor(0.2190), 'rouge1_precision': tensor(0.1810), 'rouge1_recall': tensor(0.5322), 'rouge2_fmeasure': tensor(0.0709), 'rouge2_precision': tensor(0.0611), 'rouge2_recall': tensor(0.1752), 'rougeL_fmeasure': tensor(0.1356), 'rougeL_precision': tensor(0.1092), 'rougeL_recall': tensor(0.3537), 'rougeLsum_fmeasure': tensor(0.1885), 'rougeLsum_precision': tensor(0.1570), 'rougeLsum_recall': tensor(0.4584)}",0.0,0.77,0.34,mistral_few_2_0_100_13.csv
29,"{'rouge1_fmeasure': tensor(0.2265), 'rouge1_precision': tensor(0.2360), 'rouge1_recall': tensor(0.4053), 'rouge2_fmeasure': tensor(0.0716), 'rouge2_precision': tensor(0.0703), 'rouge2_recall': tensor(0.1313), 'rougeL_fmeasure': tensor(0.1596), 'rougeL_precision': tensor(0.1646), 'rougeL_recall': tensor(0.2907), 'rougeLsum_fmeasure': tensor(0.1941), 'rougeLsum_precision': tensor(0.2018), 'rougeLsum_recall': tensor(0.3493)}",0.13,0.89,0.65,mistral_few_1_1_100_3.csv
30,"{'rouge1_fmeasure': tensor(0.2164), 'rouge1_precision': tensor(0.1844), 'rouge1_recall': tensor(0.5202), 'rouge2_fmeasure': tensor(0.0695), 'rouge2_precision': tensor(0.0619), 'rouge2_recall': tensor(0.1701), 'rougeL_fmeasure': tensor(0.1332), 'rougeL_precision': tensor(0.1103), 'rougeL_recall': tensor(0.3454), 'rougeLsum_fmeasure': tensor(0.1876), 'rougeLsum_precision': tensor(0.1612), 'rougeLsum_recall': tensor(0.4506)}",0.0,0.79,0.32,mistral_few_2_1_100_13.csv
31,"{'rouge1_fmeasure': tensor(0.2255), 'rouge1_precision': tensor(0.1986), 'rouge1_recall': tensor(0.4548), 'rouge2_fmeasure': tensor(0.0736), 'rouge2_precision': tensor(0.0653), 'rouge2_recall': tensor(0.1530), 'rougeL_fmeasure': tensor(0.1509), 'rougeL_precision': tensor(0.1335), 'rougeL_recall': tensor(0.3167), 'rougeLsum_fmeasure': tensor(0.1961), 'rougeLsum_precision': tensor(0.1716), 'rougeLsum_recall': tensor(0.3975)}",0.05,0.85,0.5,mistral_few_2_1_100_313.csv
32,"{'rouge1_fmeasure': tensor(0.2504), 'rouge1_precision': tensor(0.2352), 'rouge1_recall': tensor(0.4425), 'rouge2_fmeasure': tensor(0.0889), 'rouge2_precision': tensor(0.0816), 'rouge2_recall': tensor(0.1593), 'rougeL_fmeasure': tensor(0.1703), 'rougeL_precision': tensor(0.1589), 'rougeL_recall': tensor(0.3104), 'rougeLsum_fmeasure': tensor(0.2147), 'rougeLsum_precision': tensor(0.2010), 'rougeLsum_recall': tensor(0.3821)}",0.06,0.87,0.64,mistral_few_1_2_100_313.csv
33,"{'rouge1_fmeasure': tensor(0.2345), 'rouge1_precision': tensor(0.2289), 'rouge1_recall': tensor(0.4328), 'rouge2_fmeasure': tensor(0.0757), 'rouge2_precision': tensor(0.0708), 'rouge2_recall': tensor(0.1427), 'rougeL_fmeasure': tensor(0.1616), 'rougeL_precision': tensor(0.1577), 'rougeL_recall': tensor(0.3063), 'rougeLsum_fmeasure': tensor(0.1982), 'rougeLsum_precision': tensor(0.1911), 'rougeLsum_recall': tensor(0.3704)}",0.15,0.91,0.51,mistral_few_0_1_100_3.csv
34,"{'rouge1_fmeasure': tensor(0.2145), 'rouge1_precision': tensor(0.2159), 'rouge1_recall': tensor(0.4128), 'rouge2_fmeasure': tensor(0.0636), 'rouge2_precision': tensor(0.0581), 'rouge2_recall': tensor(0.1262), 'rougeL_fmeasure': tensor(0.1429), 'rougeL_precision': tensor(0.1425), 'rougeL_recall': tensor(0.2839), 'rougeLsum_fmeasure': tensor(0.1821), 'rougeLsum_precision': tensor(0.1831), 'rougeLsum_recall': tensor(0.3527)}",0.07,0.88,0.63,mistral_few_1_0_100_3.csv
35,"{'rouge1_fmeasure': tensor(0.2155), 'rouge1_precision': tensor(0.1887), 'rouge1_recall': tensor(0.4345), 'rouge2_fmeasure': tensor(0.0657), 'rouge2_precision': tensor(0.0591), 'rouge2_recall': tensor(0.1418), 'rougeL_fmeasure': tensor(0.1441), 'rougeL_precision': tensor(0.1250), 'rougeL_recall': tensor(0.3019), 'rougeLsum_fmeasure': tensor(0.1843), 'rougeLsum_precision': tensor(0.1637), 'rougeLsum_recall': tensor(0.3721)}",0.01,0.88,0.63,mistral_zero_0_100_100_3.csv
36,"{'rouge1_fmeasure': tensor(0.2556), 'rouge1_precision': tensor(0.2910), 'rouge1_recall': tensor(0.3991), 'rouge2_fmeasure': tensor(0.0790), 'rouge2_precision': tensor(0.0900), 'rouge2_recall': tensor(0.1176), 'rougeL_fmeasure': tensor(0.1735), 'rougeL_precision': tensor(0.1975), 'rougeL_recall': tensor(0.2756), 'rougeLsum_fmeasure': tensor(0.2152), 'rougeLsum_precision': tensor(0.2442), 'rougeLsum_recall': tensor(0.3410)}",0.18,0.82,0.64,mistral_few_1_1_100_13.csv
37,"{'rouge1_fmeasure': tensor(0.2231), 'rouge1_precision': tensor(0.3538), 'rouge1_recall': tensor(0.3109), 'rouge2_fmeasure': tensor(0.0816), 'rouge2_precision': tensor(0.1297), 'rouge2_recall': tensor(0.1118), 'rougeL_fmeasure': tensor(0.1709), 'rougeL_precision': tensor(0.2837), 'rougeL_recall': tensor(0.2286), 'rougeLsum_fmeasure': tensor(0.1935), 'rougeLsum_precision': tensor(0.3080), 'rougeLsum_recall': tensor(0.2715)}",0.46,0.93,0.77,mistral_few_0_2_100_3.csv
38,"{'rouge1_fmeasure': tensor(0.2245), 'rouge1_precision': tensor(0.1892), 'rouge1_recall': tensor(0.4980), 'rouge2_fmeasure': tensor(0.0675), 'rouge2_precision': tensor(0.0585), 'rouge2_recall': tensor(0.1556), 'rougeL_fmeasure': tensor(0.1403), 'rougeL_precision': tensor(0.1154), 'rougeL_recall': tensor(0.3338), 'rougeLsum_fmeasure': tensor(0.1939), 'rougeLsum_precision': tensor(0.1649), 'rougeLsum_recall': tensor(0.4300)}",0.0,0.82,0.4,mistral_few_2_3_100_13.csv
